pk,parameter_id,description-en,description-jp,奄美語徳之島面縄方言,沖縄語糸満方言,宮古語伊良部島長浜方言,福岡県柳川市方言,甑島里,富山県富山市,埼玉県東南部,椎葉村尾前方言,東京都世田谷区,長崎県五島列島野方方言,岩手県盛岡市,茨城県水海道方言,岐阜県大垣市赤坂方言,長崎県佐世保市宇久町方言
27,25A,Locus of Marking: Whole-language Typology,被動者と所有はどこに標示されるか,Dependent-marking,Dependent-marking,no data,Dependent-marking,Consistently dependent-marking,Consistently dependent-marking,Dependent-marking,Dependent marking,Dependent-marking,Dependent marking,no data,Dependent marking,no data,no data
28,25B,Zero Marking of A and P Arguments,no data,P is zero-marked,P is zero-marked,no data,no data,Non-zero marking,no data,no data,Non-zero marking,no data,Non-zero marking,no data,no data,no data," 
Non-zero marking"
29,25C-J,Differential Subject Marking,DSM現象があるか。もしあるなら、何によって標示が変わるか（e.g. 有生性、尊卑）,"Animacy, derogativity, addressability","Animacy, derogativity, addressability",no data,no data,no data,no data,no data,"Animacy, transitivity, focus",no data,Animacy,no data,no data,no data,no data
30,25D-J,Differential Object Marking,DOM現象があるか。もしあるなら、何によって標示が変わるか（e.g. 有生性、尊卑）,no data,no data,no data,no data,no data,no data,no data,"Animacy, adjacency",no data,no data,no data,Animacy,no data,no data
31,25E-J,Differential Genitive Marking,所有の標示が場合によって異なる現象（DGM）はあるか。,Animacy,no data,no data,no data,no data,no data,no data,"Animacy, alienability",no data,Animacy,no data,"Animacy, possessor-possessum relation",なし,no data
32,26A,Prefixing vs. Suffixing in Inflectional Morphology,no data,Predominantly suffixing,Predominantly suffixing,no data,Predominantly suffixing,Predominantly suffixing,Predominantly suffixing,suffix,Predominantly suffixing,no data,Predominantly suffixing,Predominantly suffixing,Predominantly suffixing,Predominantly suffixing,no data
33,27A,Reduplication,no data,Full reduplication only,no data,no data,Full reduplication only,Full reduplication only,no data,no data,no data,no data,no data,no data,no data,no data,no data
34,28A,Case Syncretism,格を屈折によって標示するか？する場合どのような方略か,No case marking,No case marking,No case marking,No case marking,Inflectional case marking is absent or minimal,no data,No case marking,No case marking,no data,No case marking,no data,No case marking,No case marking,no data
35,29A,Syncretism in Verbal Person/Number Marking,数や人称を動詞に標示するか,No subject person/number marking,No subject person/number marking,No subject person / number marking,No subject person/number marking,No subject person/number marking,No subject person/number marking,No subject person/number marking,No subject person/number marking,no data,No subject person/number marking,no data,No subject person/number marking,No subject person/number marking,no data
36,30A,Number of Genders,no data,No grammatical gender,No grammatical gender,No grammatical gender,No grammatical gender,no data,no data,no data,no data,no data,none,no data,none,No grammatical gender,no data
37,31A,Sex-based and Non-sex-based Gender Systems,no data,No grammatical gender,No grammatical gender,No grammatical gender,No grammatical gender,No gender system,No gender system,no data,No gender system,no data,No gender system,no data,No gender system,No gender system,no data
38,32A,Systems of Gender Assignment,no data,No grammatical gender,No grammatical gender,No grammatical gender,No grammatical gender,No gender system,No gender system,no data,No gender system,no data,No gender system,no data,No gender system,No gender system,no data
39,33A,Coding of Nominal Plurality,no data,suffix / reduplication,suffix / reduplication,no data,suffix / reduplication,no data,Plural suffix,suffix,Plural suffix,no data,Plural suffix,no data,no data,no data,no data
40,34A,Occurrence of Nominal Plurality,no data,no data,no data,no data,"Address nouns, obiligatory. Other animates, optional",no data,no data,no data,only human nouns optionally,no data,only human noun,no data,no data,no data,no data
41,35A,Plurality in Independent Personal Pronouns,no data,suffix / alternation,no data,no data,Person stem + nominal plural affix,no data,no data,Person stem + nominal plural affix,Person stem + nominal affix,no data,Person stem + nominal plural affix,no data,no data,Person stem + nominal plural affix,no data
42,36A,The Associative Plural,no data,Associative same as additive plural,Associative same as additive plural,no data,Associative same as additive plural,no data,no data,no data,Associative plural maeker also used for additive plurals,no data,Associative same as additive plural,no data,no data,no data,no data
43,36-B-J,Marking Plural by Reduplication,重複によって複数を示すことがあるか？あるとしたらどのような名詞カテゴリでそれが現れるか？,Interrogative noun,no data,no data,no data,no data,no data,no data,interrogative pronoun,no data,no data,no data,no data,no data,no data
44,36-C-J,Dual Form,名詞の双数形があるか？あるとしたらどのカテゴリに現れるか？,Pronoun,no data,Pronoun(first person),no data,no data,no data,no data,no data,no data,none,no data,no data,no data,no data
45,37A,Definite Articles,no data,No definite or indefinite article,No definite or indefinite article,No definite or indefinite article,No definite or indefinite article,Neither definite nor indefinite article,Neither definite nor indefinite article,No definite or indefinite article,No definite or indefinite article,No definite or indefinite article,No definite or indefinite particle,no data,No definite or indefinite particle,Neither definite nor indefinite article,no data
46,38A,Indefinite Articles,no data,No definite or indefinite article,No definite or indefinite article,No definite or indefinite article,No definite or indefinite article,Neither indefinite nor definite,Neither indefinite nor definite,No definite or indefinite article,No definite or indefinite article,No definite or indefinite article,No definite or indefinite particle,no data,No definite or indefinite particle,Neither definite nor indefinite article,no data
47,39A,Inclusive/Exclusive Distinction in Independent Pronouns,no data,No inclusice / exclusive,No inclusice / exclusive,no data,No inclusive/exclusive,No inclusive/exclusive opposition,No inclusive/exclusive opposition,no data,No inclusive/exclusive distinction,no data,No inclusive/exclusive,no data,no data,no data,no data
48,39B,Inclusive/Exclusive Forms in Pama-Nyungan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
49,40A,Inclusive/Exclusive Distinction in Verbal Inflection,no data,No person marking,No person marking,No person marking,No person marking,No person marking at all,No person marking at all,No person marking,No person marking,No person marking,No person marking,no data,No person marking,No inclusive/exclusive opposition,no data
50,41A,Distance Contrasts in Demonstratives,no data,Three-way contrast,Two-way contrast,no data,Three-way contrast,Three-way contrast,Three-way contrast,Three-way contrast,Three-way contrast,Three-way contrast,Three-way contrast,no data,no data,no data,no data
51,42A,Pronominal and Adnominal Demonstratives,no data,Different inflection,Different inflection,no data,Different inflection,Different inflectional features	,Different inflectional features,Different inflection,Different inflection,Different inflection,different inflection,no data,no data,Different inflection,no data
52,43A,Third Person Pronouns and Demonstratives,no data,no data,no data,no data,no data,no data,no data,Related to remote demonstratives,no data,no data,related to proximal or remote demonstrative,no data,no data,no data,no data
53,43B-J,Third-person Pronoun,三人称代名詞はあるか。,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
54,43C-J,Demonstrative Pronoun as a Third Person Pronoun,no data,all noun,all noun,no data,no data,no data,no data,no data,all noun,inanimate only,yes,no data,no data,no data,no data
55,44A,Gender Distinctions in Independent Personal Pronouns,no data,No gender distinctions,No gender distinctions,no data,No gender distinctions,No gender distinctions,No gender distinctions,no data,No gender didtinction,no data,No gender distinctions,no data,No gender distinctions,no data,no data
56,45A,Politeness Distinctions in Pronouns,no data,Binary politeness distinction,Binary politeness distinction,no data,"Multiple politeness distinctions, Pronouns avoided for politeness",Second person pronouns encode a binary politeness distinction,Second person pronouns encode multiple politeness distinctions,Multiple politeness distinctions,Second person pronouns encode multiple politeness distinctions,Pronouns avoided for politeness,No politeness distinction,no data,no data,no data,no data
57,46A,Indefinite Pronouns,no data,Interrogative-based,Interrogative-based,no data,Interrogative-based,no data,no data,Interrogative-based,Interrogative-based,Interrogative-based,interrogative-based,no data,no data,no data,no data
58,47A,Intensifiers and Reflexive Pronouns,no data,Identical,Identical,no data,Identical,no data,no data,Identical,no data,Identical,no data,no data,no data,no data,no data
59,48A,Person Marking on Adpositions,側置詞に人称標示するか。,No person marking,no data,no data,No person marking,Adpositions without person marking,Adpositions without person marking,No person marking,No person marking,No person marking,No person marking,no data,No person marking,Adpositions without person marking,no data
60,49A,Number of Cases,格の数はいくつか,10,no data,no data,10,10,9,13,9,no data,9,no data,11,8,no data
61,50A,Asymmetrical Case-Marking,名詞の種類によって格配列が変わるか。例：英語は一部の人称代名詞でのみnom-gen-accの区別が生じるので、additive-quantity,Symmetrical,no data,no data,Symmetrical,no data,Symmetrical case-marking,no data,symmetrical,no data,symmetrical,no data,Qualitatively asymmetrical case-marking,Symmetrical,no data
62,51A,Position of Case Affixes,no data,Postpositional clitics,no data,no data,Postpositional clitics,Postpositional clitics,no data,Postpositional clitics,Postpositional clitics,no data,postpositional,no data,postpositional,Postpositional clitics,no data
63,52A,Comitatives and Instrumentals,Comitative（e.g. ト）とInstrumental（e.g. デ）の形式は同一か,Differentiation,no data,no data,Differentiation,Differentiation,Differentiation,Differentiation,Differentiation,Differentiation,differentiation,no data,differentiation,Differentiation,no data
64,53A,Ordinal Numerals,no data,no data,no data,no data,"One-th, two-th, three-th",no data,no data,no data,no data,"One-th, two-th, three-th","One, two, three",no data,no data,"One-th, two-th, three-th",no data
65,54A,Distributive Numerals,配分数詞「〜ずつ」はどのように標示されるか,Marked by suffix,no data,no data,Marked by suffix,no data,no data,no data,no data,no data,no data,no data,no data,Marked by suffix,no data
66,55A,Numeral Classifiers,no data,Obligatory,no data,no data,Numeral classifiers are obligatory	,no data,no data,no data,Numeral classifiers are obligatory	,Obligatory,no data,no data,no data,Numeral classifiers are obligatory,no data
67,56A,Conjunctions and Universal Quantifiers,no data,"Formally similar, with interrogative",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
68,57A,Position of Pronominal Possessive Affixes,no data,No possessive affixes,no data,no data,No possessive affixes,No possessive affixes,No possessive affixes,No possessive affixes,No possesive affix,No possessive affixes,No possesive affix,no data,No possesive affix,No possessive affixes,no data
69,58A,Obligatory Possessive Inflection,no data,Absent,no data,no data,Absent,No obligatorily possessed nouns,No obligatorily possessed nouns,no data,no data,no data,Absent,no data,Absent,No obligatorily possessed nouns,no data
70,58B,Number of Possessive Nouns,no data,None reported,no data,no data,None reported,None reported,None reported,None reported,None reported,no data,None reported,no data,None reported,no data,no data
71,59A,Possessive Classification,被所有者の属性によって所有構文のencodingが変わるかどうか。,No possessive classification,no data,no data,No possessive classification,No possessive classification	,No possessive classification	,No possessive classification	,No possessive classification,no data,No possessive classification,no data,No possessive classification,No possessive classification,no data
72,60A,Genitives         Adjectives and Relative Clauses,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
73,61A,Adjectives without Nouns,no data,no data,no data,no data,Not without noun,Not without noun,"Adjective may occur without noun, obligatorily marked by following word",Marked by following word,"Adjective may occur without noun, obligatorily marked by following word",no data,"Adjective may occur without noun, obligatorily marked by following word",no data,no data,no data,no data
74,61-J,名詞なしの形容詞,(1)そのままの形式で名詞になるか(2)形式名詞はあるか,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
75,62A,Action Nominal Constructions,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
76,63A,Noun Phrase Conjunction,John went with MaryとJohn and Mary wentのように、noun phrase conjunctionとcomitative phraseで同一の形態素を用いるかどうか。,identical,no data,no data,And' identical to 'with',WITH-languages,no data,And' identical to 'with',And' identical to 'with',no data,And' identical to 'with',no data,And' identical to 'with',no data,no data
77,64A,Nominal and Verbal Conjunction,"John and Mary, eat and drinkのように、名詞と動詞で接続方法が同一かどうか",DIfferentiation,no data,no data,Differentiation,Nominal and verbal conjunction are different,Nominal and verbal conjunction are different,Differentiation,Differentiation,no data,differentiaton,no data,no data,no data,no data
78,65A,Perfective/Imperfective Aspect,no data,no data,no data,no data,Grammatical marking,Grammatical marking of perfective/imperfective distinction,Grammatical marking of perfective/imperfective distinction,Grammatical marking of perfective/imperfective distinction,Grammatical marking of perfective/imperfective distinction,no data,Gramatical marking,no data,no data,no data,no data
79,66A,The Past Tense,no data,"Present, no remoteness distinctions",no data,no data,"Present, no remoteness distinctions",Past/non-past distinction marked; no remoteness distinction,Past/non-past distinction marked; no remoteness distinction,"Present, no remoteness distinctions","Present, no remoteness distinctions",no data,"Present, no remoteness distinctions",no data,no data,no data,no data
80,67A,The Future Tense,no data,No inflectional future,no data,no data,No inflectional future,No inflectional marking of future/non-future distinction,No inflectional marking of future/non-future distinction,No inflectional future,No inflectional future,no data,No inflectional future,no data,no data,no data,no data
81,68A,The Perfect,no data,no data,no data,no data,Other perfect,no data,no data,no data,other perfect,no data,other perfect,no data,no data,no data,no data
82,69A,Position of Tense-Aspect Affixes,テンスアスペクトは何で標示されるか,Tense-aspect suffixes,no data,no data,Tense-aspect suffixes,Tense-aspect suffixes,Tense-aspect suffixes,Tense-aspect suffixes,Tense-aspect suffixes,no data,Tense-aspect suffixes,no data,Tense-aspect suffixes,no data,no data
83,70A,The Morphological Imperative,形態的な命令の標示が行われるか。行われる場合、数による対立があるか。,Second person number-neutral,no data,no data,Second person number-neutral,The language has morphologically dedicated second person imperatives that do not distinguish between singular and plural,The language has morphologically dedicated second person imperatives that do not distinguish between singular and plural,Second person number-neutral,Second person number-neutral,no data,no data,no data,Second person number-neutral,no data,no data
84,71A,The Prohibitive,禁止の形式は、特別な命令の形式と特別な否定の形式を採用しているか,Special imperative + special negative,no data,no data,Special imperative + special negative,The prohbitive uses the verbal construction of the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The prohbitive uses the verbal construction of the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,Special imperative + special negative,no data,no data,Special imperative + special negative,no data,no data,no data,no data
85,72A,Imperative-Hortative Systems,WALSの説明がよくわからない (maximalでもminimalでもないということはどういうこと？),no data,no data,no data,no data,The language has neither a maximal nor a minimal system,The language has neither a maximal nor a minimal system,no data,no data,no data,no data,no data,no data,no data,no data
86,73A,The Optative,動詞屈折に希求法があるか,Inflectional optative absent,no data,no data,Inflectional optative absent,Inflectional optative absent,no data,Inflectional optative present,Inflectional optative absent,Inflectional optative absent,Inflectional optative absent,no data,no data,no data,no data
87,74A,Situational Possibility,行為遂行的な可能を動詞屈折で表せるか,Affixes on verbs,no data,no data,Affixes on verbs,The language can express situational possibility with affixes on verbs,The language can express situational possibility with affixes on verbs,Affixes on verbs,Affixes on verbs,no data,Affixes on verbs,no data,Affixes on verbs,no data,no data
88,75A,Epistemic Possibility,認識的モダリティをどのように表すか,Other,no data,no data,Affixes on verbs,"The language cannot express epistemic possibility with verbal constructions or with affixes on verbs, but with other kinds of markers","The language cannot express epistemic possibility with verbal constructions or with affixes on verbs, but with other kinds of markers",Affixes on verbs,other,no data,Affixes on verbs,no data,no data,no data,no data
89,76A,Overlap between Situational and Epistemic Modal Marking,行為遂行的モダリティと認識的モダリティが同じ形式で表されるか？,no data,no data,no data,Overlap for either possibility or necessity,"The language has markers that can code both situational and epistemic modality, but only for possibility or for necessity	","The language has markers that can code both situational and epistemic modality, but only for possibility or for necessity",Overlap for either possibility or necessity,no data,no data,no overlap,no data,Overlap for either possibility or necessity,no data,no data
90,77A,Semantic Distinctions of Evidentiality,どのような種類の証拠性が文法的にコーディングされるか,Indirect only,no data,no data,Indirect only,no data,no data,Indirect only,indirect only,no data,No grammatical evidentials,no data,no data,no data,no data
91,78A,Coding of Evidentiality,証拠性のコーディングは何によって行われるか,Mixed,no data,no data,no data,no data,no data,no data,Verbal affix or clitic,no data,No grammatical evidentials,no data,no data,no data,no data
92,79A,Suppletion According to Tense and Aspect,時制のパラダイムに補充形があるか,no data,no data,no data,no data,No suppletion in tense or aspect,No suppletion in tense or aspect,No suppletion in tense or aspect,No suppletion in tense or aspect,no data,no data,no data,no data,no data,no data
93,79B,Suppletion in Imperatives and Hortatives,命令・勧誘のパラダイムに補充形があるか,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
94,80A,Verbal Number and Suppletion,動詞の人称パラダイムに補充形があるか,no data,no data,no data,no data,No singular-(dual)-plural pairs/triples,No singular-(dual)-plural pairs/triples,No singular-(dual)-plural pairs/triples,no data,no data,no data,no data,no data,no data,no data
95,81A,Order of Subject	 Object and Verb,基本語順,SOV,no data,SOV,SOV,no data,Subject-object-verb,Subject-object-verb,SOV,SOV,SOV,no data,SOV,no data,no data
96,81B,Languages with two Dominant Orders of Subject	 Object	 and Verb,基本語順が定まらない場合のありうる語順,no data,no data,?,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
97,82A,Order of Subject and Verb,no data,SV,no data,SV,SV,Subject precedes verb (SV),Subject precedes verb (SV),Subject precedes verb (SV),SV,no data,SV,no data,SV,no data,no data
98,83A,Order of Object and Verb,no data,OV,no data,OV,OV,Object precedes verb (OV),Object precedes verb (OV),Object precedes verb (OV),OV,no data,OV,no data,OV,no data,no data
99,84A,Order of Object         Oblique         and Verb,no data,no data,no data,no data,no data,no data,no data,XOV,no data,no data,no data,no data,no data,no data,no data
100,85A,Order of Adposition and Noun Phrase,no data,Postpositions,no data,no data,Postpositions,Postpositions,Postpositions,Postpositions,Postpositions,Postpositions,postposition,no data,postposition,no data,no data
101,86A,Order of Genitive and Noun,no data,Genitive-Noun,no data,no data,Genitive-Noun,Genitive-noun (GenN),Genitive-noun (GenN),no data,Genitive-Noun,no data,Genitive-Noun,no data,Genitive-Noun,no data,no data
102,87A,Order of Adjective and Noun,no data,Adjective-Noun,no data,no data,Adjective-Noun,Modifying adjective precedes noun (AdjN),Modifying adjective precedes noun (AdjN),no data,Adjective-Noun,no data,Adjective-Noun,no data,Adjective-Noun,no data,no data
103,88A,Order of Demonstrative and Noun,no data,Demonstrative-Noun,no data,no data,Demonstrative-Noun,Demonstrative word precedes noun (DemN),Demonstrative word precedes noun (DemN),no data,Demonstrative-Noun,no data,Demonstrative-Noun,no data,no data,no data,no data
104,89A,Order of Numeral and Noun,no data,Numeral-Noun,no data,no data,Numeral-Noun,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
105,90A,Order of Relative Clause and Noun,no data,Relative clause-Noun,no data,no data,Relative clause-Noun,Relative clause precedes noun (RelN),Relative clause precedes noun (RelN),no data,Relative clause precedes noun (RelN),no data,Relative Clause-Noun,no data,Relative Clause-Noun,no data,no data
106,90B,Prenominal relative clauses,NとRelの位置関係に揺れが生じ、かつその選択肢の一つにRelNがあるか。揺れがない言語はRelative clause-Noun (RelN) dominantとする。,Relative clause-Noun (RelN) dominant,no data,no data,Relative clause-Noun (RelN) dominant,Relative clause-Noun (RelN) dominant,Relative clause precedes noun (RelN),no data,Relative clause-Noun (RelN) dominant,no data,Relative clause-Noun (RelN) dominant,no data,Relative clause-Noun (RelN) dominant,no data,no data
107,90C,Postnominal relative clauses,NとRelの位置関係に揺れが生じ、かつその選択肢の一つにNRelがあるか。,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
108,90D,Internally-headed relative clauses,no data,Internally-headed occurs as nondominant type,no data,no data,no data,no data,no data,no data,no data,no data,Internally-headed occurs as nondominant type,no data,no data,no data,no data
109,90E,Correlative relative clauses,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
110,90F,Adjoined relative clauses,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
111,90G,Double-headed relative clauses,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
112,91A,Order of Degree Word and Adjective,no data,Degree word-Adjective,no data,no data,Degree word-Adjective,Degree word precedes adjective (DegAdj),Degree word precedes adjective (DegAdj),no data,Degree word precedes adjective (DegAdj),no data,no data,no data,no data,no data,no data
113,92A,Position of Polar Question Particles,no data,Final,no data,no data,Final,Question particle at end of sentence,Question particle at end of sentence,no data,Final,no data,Final,no data,no data,no data,no data
114,93A,Position of Interrogative Phrases in Content Questions,no data,Final,no data,no data,Not initial interrogative phrase,no data,no data,no data,Not initial interrogative phrase,no data,no data,no data,no data,no data,no data
115,94A,Order of Adverbial Subordinator and Clause,従属副詞を作る形態素はどこに現れるか。,Final subordinator word,no data,no data,Final subordinator word,no data,no data,no data,Final subordinator word,no data,Final subordinator word,no data,no data,no data,no data
116,95A,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,no data,OV and postpositions,no data,no data,OV and postpositions,Object-verb and postpositional (OV&Postp),Object-verb and postpositional (OV&Postp),no data,OV and postpositions,no data,OV and postpositions,no data,OV and postpositions,no data,no data
117,96A,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,no data,OV and RelN,no data,no data,OV and RelN,Object-verb and relative clause-noun (OV&RelN),Object-verb and relative clause-noun (OV&RelN),no data,OV and RelN,no data,OV and RelN,no data,OV and RelN,no data,no data
118,97A,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,no data,OV and AdjN,no data,no data,OV and AdjN,Object-verb and adjective-noun (OV&AdjN),no data,no data,OV and AdjN,no data,OV and AdjN,no data,OV and AdjN,no data,no data
119,98A,Alignment of Case Marking of Full Noun Phrases,no data,Nominative - accusative (marked nominative),no data,no data,Nominative - accusative (standard),Nominative - accusative (standard),no data,no data,Nominative - accusative (standard),no data,Nominative - accusative (marked nominative),no data,"Nominative - accusative (standard), Neutral",no data,no data
120,99A,Alignment of Case Marking of Pronouns,no data,Optional pronouns in subject position,no data,no data,Nominative - accusative (standard),Nominative - accusative (standard),no data,no data,Nominative - accusative (standard),no data,不詳,no data,Nominative - accusative (standard),no data,no data
121,100A,Alignment of Verbal Person Marking,no data,Neutral,no data,no data,Neutral,Neutral alignment (no verbal person marking),Neutral alignment (no verbal person marking),no data,Neutral alignment (no verbal person marking),no data,Neutral,no data,Neutral,no data,no data
122,101A,Expression of Pronominal Subjects,no data,Optional pronouns in subject position,no data,no data,Optional pronouns in subject position,no data,no data,no data,Optional pronouns in subject position,no data,Optional pronouns in subject position,no data,no data,no data,no data
123,102A,Verbal Person Marking,no data,No person marking,no data,no data,No person marking,No person marking of any argument,No person marking of any argument,no data,No person marking,no data,No person marking,no data,No person marking,no data,no data
